"companyid","yearmonth1","sentences","countvar1"
18511,"2010m11","We've been actively communicating with our LP investors in both our buyout and growth funds.",1781
18511,"2010m11","And we are, of course, committed to managing these funds on the same basis through to the end of their investing periods.",1781
18511,"2010m11","Now following these changes, we're in a six-month consultation period with our Eurofund Advisory Board.",1781
18511,"2010m11","Those discussions are constructive and include the possibility of potentially extending the fund for one year beyond November 2011.",1781
18511,"2010m11","Notwithstanding the six-month consultation period, we expect matters to be resolved by the end of the calendar year.",1781
18511,"2010m11","So the bottom line is the fund continues as normal.",1781
18511,"2010m11","We've also recently promoted three people to the leadership team, Alan Giddins and Cressida Hogg, you already heard from.",1781
18511,"2010m11","has been a senior partner in the Buyout business and will take over leadership of the buyout fund and the geographical responsibility for Northern Europe.",1781
18511,"2010m11","Alan Giddins, who is also a senior partner in Buyouts and has also that our business services sector across the whole company, will have responsibility for the U.",1781
18511,"2010m11","and all our sector activities.",1781
18511,"2010m11","We now have three stroke platforms for growth, which can leverage our resources and expertise.",1781
18511,"2010m11","The growth of our Debt Management and Infrastructure businesses brings similar benefits to 3i, not least in lowering potential volatility through generating increased revenue profits.",1781
18511,"2010m11","And I want to give you a brief update on six of our largest investments.",1781
18511,"2010m11","There are some really common themes as to how they have generated growth and value in the recession.",1781
18511,"2010m11","These are international development, improve strategy and positioning, operational effectiveness and also following a buy and build strategy.",1781
18511,"2010m11","There more details of these and other companies in your packs and on the IR website.",1781
18511,"2010m11","But let me to do so these companies.",1781
18511,"2010m11","ACR is a pan-Asian reinsurer that we invested in, in 2006.",1781
18511,"2010m11","Today, it has premiums of USD $500 million and customers across 50 countries.",1781
18511,"2010m11","is a leading manufacturer of joining technology products and solutions.",1781
18511,"2010m11","It operates across 80 countries and, since we invested has opened new plants in China, Thailand, Mexico, Russia and Serbia.",1781
18511,"2010m11","EBITDA has tripled during our investment period.",1781
18511,"2010m11","Foster & Partners is one of the world's most innovative architectural practices and since our investment has continued to expand internationally and has now deliver projects and 50 countries.",1781
18511,"2010m11","EBITDA has grown 68% since our investment in 2007.",1781
18511,"2010m11","is a leading funeral service provider in Spain and Portugal.",1781
18511,"2010m11","Through acquisitions, growth and operational improvement, EBITDA is up 21% from the time of our investment in 2008.",1781
18511,"2010m11","may be well known to you through its brand.",1781
18511,"2010m11","And this business has grown internationally from virtually nothing when we invested to 55% of sales today.",1781
18511,"2010m11","And the last of these six companies is, the global market leader in outsourced clinical trial.",1781
18511,"2010m11","We've supported what was already an outstanding company to grow further in Asia and Europe.",1781
18511,"2010m11","But let me return to the common themes.",1781
18511,"2010m11","In five out of these six, we supported their international development.",1781
18511,"2010m11","In all of them, our sector knowledge and ability to identify great people from our Business Leaders Network has either help the company directly or given 3i particular insight into the opportunities.",1781
18511,"2010m11","In all of them, our active partnership initiative is generating operational improvements, improving their strategic positions and building robust growth through acquisitions that are enhancing returns.",1781
18511,"2010m11","Together, these companies have a combined value of GBP 724 million.",1781
18511,"2010m11","And more and more of our portfolio companies we're making these initiatives deliver value for us.",1781
18511,"2010m11","Today, we focus on the first two elements of our strategy, investing and growing 3i.",1781
18511,"2010m11","In order to achieve these, it's absolutely critical that we do all that we can to ensure that 3i's reputation not only remains good, but that we build on it.",1781
18511,"2010m11","Our success internationally owes much to the strength of our brand.",1781
18511,"2010m11","As you heard from Cressida, 3i's brand has been central to developing a strong position in the infrastructure market.",1781
18511,"2010m11","3i's repetition as a responsible investor is a core part of our brand and will be placing an increased emphasis on corporate responsibility, not just to the group level but also in all our portfolio companies.",1781
18511,"2010m11","At our results presentation in May, I mentioned the One 3i approached that we've been driving the business.",1781
18511,"2010m11","The point of this was to increase our effectiveness, especially in terms of how we source opportunities, how we convert these opportunities into investments and then how we create value once invested.",1781
18511,"2010m11","This underpins all the other elements of our strategy.",1781
18511,"2010m11","And of course, the real test of whether this strategy delivers value will be our long-term financial performance and reputation.",1781
18511,"2010m11","So let me turn to the outlook and our priorities for the second half.",1781
18511,"2010m11","Predicting the macroeconomic outlook remains a challenge.",1781
18511,"2010m11","The important thing is that 3i is in a strong position to take advantage of either a sustained improvement or given our financial strength, to deal with further turbulence.",1781
18511,"2010m11","The outlook for our Private Equity business is improving.",1781
18511,"2010m11","Pricing will remain full.",1781
18511,"2010m11","And I think that this will continue for another 12 to 18 months.",1781
18511,"2010m11","But despite this, we can find good investments, as we've demonstrated with Trescal and Vedici.",1781
18511,"2010m11","As Cressida said, conditions in the infrastructure market in Europe and in India look favorable.",1781
18511,"2010m11","And as demonstrated by the two investments we've announced in the last week.",1781
18511,"2010m11","The outlook for the Debt Management business is also positive, with the opportunity to grow assets under management through new funds and further acquisitions.",1781
18511,"2010m11","The combination of the MIM team's track record and capabilities and 3i's brand and financial strength position us well to take advantage of these opportunities.",1781
18511,"2010m11","So overall, the outlook for 3i is good, and we've therefore taken the opportunity to increase our dividend by 20%.",1781
18511,"2010m11","In the short term, our priorities are to continue to deliver good financial performance, to integrate MIM, and to increase momentum in our investment activity.",1781
18511,"2010m11","So in conclusion, our key themes for today are: we've increased the momentum throughout the business; our portfolio has also delivered a good performance; we've made good progress in terms of strategic development; and we now have three strong platforms for growth.",1781
18511,"2010m11","As I also said at the beginning, we've moved from planning and organizing growth to delivering growth.",1781
18511,"2010m11","Julia, Cressida and I would now be happy to take any questions that you've got.",1781
18511,"2010m11","[Operator Instructions] Just with the OpEx point.",1781
18511,"2010m11","Actually, some of our costs activity-related.",1781
18511,"2010m11","So as activity levels are building up in terms of investment and improvement, then I'm expecting to see some cost coming through that.",1781
18511,"2010m11","Effectively, what I'm saying to do is just don't double the number for the first half.",1781
18511,"2010m11","There'll be a small increase on the first half.",1781
18511,"2010m11","But overall, we're on a continuing downward trajectory.",1781
18511,"2010m11","In terms of the health of the portfolio, I mean, the general trend actually is positive.",1781
18511,"2010m11","We're seeing month by month continued overall trend.",1781
18511,"2010m11","The provisions numbers are slightly skewed because you get an individual company that has got specific issues relating to that company that will go through the provision that will make a difference of that figure.",1781
18511,"2010m11","So you can't necessarily draw conclusions across the portfolio from those individual numbers.",1781
18511,"2010m11","One company in the growth portfolio that was a sizable chunk of that provision number, actually, could come back very strongly, so we could end up March actually in effect reversing out some of that provision.",1781
18511,"2010m11","But we have a set policy that the company is performing a particularly way, we will make a provision.",1781
18511,"2010m11","But the key message is the underlying health of the portfolio is continuing to show steady improvement.",1781
18511,"2010m11","Bruce Hamilton, Morgan Stanley.",1781
18511,"2010m11","I mean, obviously, the earnings growth was a very good number in the period of up 8%.",1781
18511,"2010m11","And I guess the didn't move.",1781
18511,"2010m11","Given that, to achieve sort of 3.",1781
18511,"2010m11","8% sort of return to shareholders, which more of 5% if I x out the FX monies.",1781
18511,"2010m11","On the plate, it doesn't look that impressive.",1781
18511,"2010m11","I guess looking forward, realizations will improve, but should we also the the earnings growth will moderate.",1781
18511,"2010m11","I mean, what would you expect as a more quite normal level of earnings growth? Or is sort of 15% per year something you think is achievable? I think we're learning to live with an environment where everything a financial company does is immediately reported in the press.",1781
18511,"2010m11","So you have a pretty good view on the pipeline of potential realizations coming forward.",1781
18511,"2010m11","What I can say is when we look at the assets that have been talked about, a number of our big industrial companies, particularly I think Continental Europe, we expect to achieve extremely attractive prices for these assets because they are really high quality businesses.",1781
18511,"2010m11","One of the businesses that's being talked about that I referred to, , is just a sensational business.",1781
18511,"2010m11","That has a potential to be a very, very strong IPO candidate,  not just a potential trade sale.",1781
18511,"2010m11","It's a very attractive business.",1781
18511,"2010m11","And the reason it's attractive is because it's got great exposure to developing markets.",1781
18511,"2010m11","One of the things that we'd be pushing across all of our industrial portfolio is where they haven't already got strong market access in India, China or South America, really helping them to move that forward.",1781
18511,"2010m11","And that's what make these assets very attractive.",1781
18511,"2010m11","I mean, one of the things themes that we've been focused on is how do we access that developing market growth.",1781
18511,"2010m11","And I think there are two ways to do that.",1781
18511,"2010m11","One is to invest directly in Asian companies, which clearly we're doing as in GBK.",1781
18511,"2010m11","But the other is to make sure our great European businesses are also accessing that growth, and therefore we can benefit in that one as well.",1781
18511,"2010m11","Thank you, Michael, and good morning, everybody.",1781
18511,"2010m11","Let me start my financial update by taking you through the highlights of the six months to September.",1781
18511,"2010m11","Investment at GBP 327 million was still at a relatively modest level, although significantly up from last year.",1781
18511,"2010m11","Our portfolio has performed well, with an improvement in earnings evaluation purposes of 8% in the six months.",1781
18511,"2010m11","This is a key driver of the 8.",1781
18511,"2010m11","7% gross portfolio return in the six months, despite lower multiples used to value the portfolio.",1781
18511,"2010m11","The benefits of the tough decisions we've taken in our own business is reflected in our operating costs, which have continued to fall.",1781
18511,"2010m11","Our total return on opening shareholders funds at 3.",1781
18511,"2010m11","8% was an encouraging result.",1781
18511,"2010m11","And consequently, the board has approved an interim dividend of 1.",1781
18511,"2010m11","2p per share, as we've taken the opportunity to reset our dividend at a higher lever.",1781
18511,"2010m11","NAV per share grew by 9p in the period to 3.",1781
18511,"2010m11","Importantly, as Michael said, this is a 15% increase on a year ago.",1781
18511,"2010m11","And we have finished the period with liquidity of more than GBP 2 billion and net debt of only GBP 352 million.",1781
18511,"2010m11","Let me give you some more detail on the investment of GBP 327 million.",1781
18511,"2010m11","We have invested GBP 58 million in two new businesses: , which is a European calibration service provider; and Vedici, the fifth-largest acute healthcare company in France.",1781
18511,"2010m11","In this very competitive market, both experience and will provide opportunities to buy and build.",1781
18511,"2010m11","More than a third investment was made expanding the investment in our existing portfolio.",1781
18511,"2010m11","We continue to provide acquisition funding as we see our portfolio companies able to transactions which are not subject to the same high prices we see elsewhere.",1781
18511,"2010m11","And we've also taken the opportunity in two cases to buy senior debt and pick at discounted value is.",1781
18511,"2010m11","Realizations of GBP 293 million were achieved as an 11% uplift over opening book value.",1781
18511,"2010m11","The most significant individual transaction was the sale of its global Commodity Testing and Inspection division.",1781
18511,"2010m11","As a result, we received proceeds of GBP 121 million and retained a top 30 investment, which is valued at GBP 42 million, which is now called ESG and is focused on environmental and food testing.",1781
18511,"2010m11","Despite the prevalence of secondary transactions in the market, almost all of our realizations with the non-financial buyers.",1781
18511,"2010m11","Looking on at the breakdown of our total return.",1781
18511,"2010m11","Gross portfolio return is the return we generate directly from our portfolio.",1781
18511,"2010m11","The GBP 307 million represents an 8.",1781
18511,"2010m11","7% return on opening portfolio value for the six-month period.",1781
18511,"2010m11","It is driven by period performance in the portfolio, giving unrealized profits of GBP 196 million.",1781
18511,"2010m11","All our core business lines generated an 8% return in the six-month period.",1781
18511,"2010m11","We then get to net portfolio return reflecting the income across associated with Asset Management business.",1781
18511,"2010m11","For GBP 206 million represent the gross portfolio return diluted by carry payable and operating expenses and enhanced by carry receivable and fund fee income.",1781
18511,"2010m11","Finally, total return takes account of the effects of our balance sheet structure.",1781
18511,"2010m11","So the GBP 117 million of return is achieved after deducting of cost of finance as well as a net exchange loss of GBP 29 million.",1781
18511,"2010m11","So turning then to the valuation of our portfolio and its effect on our returns in the period.",1781
18511,"2010m11","You will see from this slide that most of the return in this period comes from the highest-quality factors, uplifts to sale and portfolio earnings growth.",1781
18511,"2010m11","This builds on the momentum in the second half of last year and represents a very different picture from that of 12 months ago.",1781
18511,"2010m11","The uplift on assets which are in the process of being sold was GBP 66 million in the six-month period.",1781
18511,"2010m11","It includes the sale to Caterpillar of MWM, what is a German-headquartered global business supplying alternative engines.",1781
18511,"2010m11","This transaction is expected is complete by the end of the year.",1781
18511,"2010m11","So this slide gives you some more detail on the earnings and multiple movements that we've used in our valuations exercise.",1781
18511,"2010m11","As I've said before, the most striking aspect is the improvement in the quality of value growth.",1781
18511,"2010m11","Looking at the first line in the table, earnings used for the valuations grew by 8% in the first half, accounting for GBP 273 million of growth.",1781
18511,"2010m11","This followed the 5% increase in the second half of last year and compared to the 13% decrease in the comparative period.",1781
18511,"2010m11","This growth reflects the tough actions that our portfolio companies have been taking in the face of the considerable economic uncertainty that Michael has talked about in his statement this morning.",1781
18511,"2010m11","Markets were volatile in the six months.",1781
18511,"2010m11","And overall, the market month pulls in the sectors and geographies in which we are invested fell during the period.",1781
18511,"2010m11","Consequently, the multiples we used in the valuations declined by 5%.",1781
18511,"2010m11","This compares to a 10% increase in the second half of last year and a 21% increase in the comparative period.",1781
18511,"2010m11","As usual, we've provided you with further analysis regarding our valuations in the appendices to your presentation.",1781
18511,"2010m11","Before talking about the balance sheet, let me make a few comments on other components of total return.",1781
18511,"2010m11","Fund fee income generated is marginally up on the same period last year.",1781
18511,"2010m11","This is principally due to capital funded the end of March.",1781
18511,"2010m11","As I mentioned earlier, we have taken tough actions ourselves to improve cost efficiency.",1781
18511,"2010m11","Operating costs were down to GBP 89 million for the six-month period.",1781
18511,"2010m11","I do expect us to be marginally higher in the second half although the year-on-year trajectory remains down.",1781
18511,"2010m11","The GBP 29 million exchange loss was incurred in the first six months due to the strengthening of sterling.",1781
18511,"2010m11","The earning hedging in operation in the six-month period was affected by our core currency borrowings.",1781
18511,"2010m11","As we've noted in our statement this morning, the board has recently decided to extend the hedging policy to include the use of derivatives.",1781
18511,"2010m11","This is a limited extension and will not exceed 30% of the corresponding portfolio value.",1781
18511,"2010m11","Implementation will be phased throughout the second half of this year.",1781
18511,"2010m11","Turning then to the balance sheet.",1781
18511,"2010m11","We've continued to adopt a conservative approach to our balance sheet management.",1781
18511,"2010m11","We set ourselves a limit on net debt of GBP 1 billion.",1781
18511,"2010m11","We have also objective of reducing our gross debt and managing maturities so that over time, maturities in any one year will be no more than the GBP 300 million.",1781
18511,"2010m11","Consistent with our strategy, gross debt has been reduced by GBP 354 million through a series of actions, significantly, the repayments of GBP 195 million of the convertible bond and GBP 89 million of commercial paper.",1781
18511,"2010m11","And we've continued the this activity until September.",1781
18511,"2010m11","There was an increase in net debt in as a result of net cash outflow in the period due to operating activity.",1781
18511,"2010m11","However, the net debt GBP 352 million is comfortable within our GBP 1 million limit.",1781
18511,"2010m11","And the group's liquidity position remains very strong at GBP 2.",1781
18511,"2010m11","1 billion, meaning, we are well positioned for investment.",1781
18511,"2010m11","So in summary and to complete my review of the financial performance, we have seen good portfolio performance, driven by earnings improvements.",1781
18511,"2010m11","We have a continued focus on conservative balance sheet management, and we remain well positioned to manage against continuing uncertainty in the market and take advantage of investment opportunities.",1781
18511,"2010m11","I'm now going to hand over to Cressida who's going to update you on our Infrastructure business.",1781
18511,"2010m11","Charles, one of the things that we've always seen in this business going through economic cycles is that the demand for growth capital picks up as you start to come out of a downturn.",1781
18511,"2010m11","So through the bottom of the market you don't actually see a lot of demand, and then you see that demand pick up.",1781
18511,"2010m11","What's being unusual this time is as we've started to see economic recovery, there's been a real reticence among businesses to actually invest, whether it's in a fixed plant and equipment, going out and buying new businesses.",1781
18511,"2010m11","Now it's hard to say whether that trend is going to continue.",1781
18511,"2010m11","But it certainly surprised us that we haven't seen a stronger growth capital pickup, given where we are in the economic cycle.",1781
18511,"2010m11","And it maybe that the way that the banks have behaved has resulted in people being extremely nervous about entering into any new commitments going forward.",1781
18511,"2010m11","There is certainly an element of that.",1781
18511,"2010m11","But I would have to say, I just think that this position, this growth in demand growth capital has simply been deferred.",1781
18511,"2010m11","And certainly, if we look at the work in progress that we're seeing and we're tracking this on a daily basis, we are seeing the early stage work in progress around growth capital is starting to pick up.",1781
18511,"2010m11","But I think it's too early to say whether that is an evidence of a trend.",1781
18511,"2010m11","But I think it's being deferred in the cycle and certainly happening later than we saw in previous cycles.",1781
18511,"2010m11","First, just following on the provisions and impairment side, am I right in the detail of the text you do highlighted help deterioration on the growth side of the portfolio, the percentage being done versus September versus March.",1781
18511,"2010m11","I wonder what's going on there.",1781
18511,"2010m11","And secondly, you mentioned about expectation of H2 OpEx being higher than H1.",1781
18511,"2010m11","Could you give a bit color what's H1 or what's expected H2, given the H1 is strongly below the run rate, shall we say, of last year -- Securities.",1781
18511,"2010m11","I've got a couple of questions.",1781
18511,"2010m11","Firstly, provisions and impairments.",1781
18511,"2010m11","These have increased again.",1781
18511,"2010m11","I think over the last two halves, they were actually positive, if I remember correctly.",1781
18511,"2010m11","Can you just give us a bit more color on that? How many assets are involved? And then the other question was on cash.",1781
18511,"2010m11","I mean, there are quite a number of sales that have been announced over the last few months.",1781
18511,"2010m11","If you project the cash that you're expecting to come in, how much is actually due to come in and be completed then leave net debt? Charles.",1781
18511,"2010m11","Neiman Securities.",1781
18511,"2010m11","Michael, I understand what you're saying about pricing.",1781
18511,"2010m11","But even allowing for that, the level of investment growth in capital seems particularly low over the period.",1781
18511,"2010m11","Were there any reasons for that? And how do you see that going forward? Well, if there aren't, as Patrick said, we wanted to conclude by 10:02.",1781
18511,"2010m11","And amazingly, we've done exactly that.",1781
18511,"2010m11","So thank you all very much for coming.",1781
18511,"2010m11","Julia, Cressida and I and Patrick are available all day for any other questions that you've got.",1781
18511,"2010m11","And we look forward to seeing you over the next six months in our various one-on-one meetings.",1781
18511,"2010m11","So thank you, all, for coming.",1781
18511,"2010m11","Is there anything else due to come through in the next few weeks? That's the most significant transaction coming through.",1781
18511,"2010m11","Thank you, Julia, and good morning.",1781
18511,"2010m11","3i has grown and established a profitable Infrastructure business from small beginnings.",1781
18511,"2010m11","We started investing in infrastructure-type assets through our private equity business that set up Infrastructure as a separate business line in 2005, as the market increasingly began to view infrastructure as a distinct asset class in its own right.",1781
18511,"2010m11","Since then, we've used 3i's investment expertise and capital to make infrastructure investments and to see two external funds, which now have combined assets on the management of approximately GBP 1.",1781
18511,"2010m11","This slide gives more detail on our two infrastructure investment vehicles.",1781
18511,"2010m11","3i Infrastructure PLC, in which we have a 33% holding  is a listed investment company, with a market cap net assets of just under GBP 1 billion.",1781
18511,"2010m11","Its overall objective is to provide shareholders with a total return, net of costs, of 12% per annum when fully invested, with 5% of distributors yield.",1781
18511,"2010m11","The company's focus is on core infrastructure, which we define as assets with stable contracted revenues or some sort of regulatory protection, principally in the transportation and utility space.",1781
18511,"2010m11","It also has exposure to social infrastructure assets and to the Indian infrastructure market, through a commitment of 3i India Infrastructure Fund.",1781
18511,"2010m11","3i Infrastructure's portfolio provides a high degree of inflation linked, strong income generation and opportunities for capital growth.",1781
18511,"2010m11","The company last week announced a new investment in Rail Group and now has an investment portfolio of 15 assets worth around GBP 800 million and remaining cash balances of GBP 138 million.",1781
18511,"2010m11","The 3i India Infrastructure Fund, in which 3i Group and 3i Infrastructure have a GBP 250 million commitment, is a GBP 1.",1781
18511,"2010m11","2 billion LP fund established to access the growing infrastructure market in India.",1781
18511,"2010m11","It focuses on the port, airport, road and power sectors.",1781
18511,"2010m11","And it's objective is to deliver an 18% net returns to its investors.",1781
18511,"2010m11","Following the announcement of a new investment in GBK energy on Monday, the fund is now over 50% invested in four assets, including the two power generation developers, a portfolio and a road constructor and operator.",1781
18511,"2010m11","Our two external funds have now established a very strong track record and a good reputation in the market.",1781
